,ID,Reason for Absence,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month,Year,Day of week
83,17,3,2015-11-12,179,22,40,306.345,22,2,2,0,8,11,2015,3
84,15,4,2015-11-19,291,31,40,306.345,25,1,1,1,5,11,2015,3
85,14,1,2015-11-02,155,12,34,306.345,25,1,2,0,32,11,2015,0
86,6,4,2015-11-09,189,29,33,306.345,25,1,2,2,8,11,2015,0
87,15,1,2015-11-16,291,31,40,306.345,25,1,1,1,40,11,2015,0
88,28,4,2015-11-18,225,26,28,306.345,24,1,1,2,1,11,2015,2
89,14,1,2015-11-20,155,12,34,306.345,25,1,2,0,8,11,2015,4
90,28,4,2015-11-18,225,26,28,306.345,24,1,1,2,3,11,2015,2
91,17,3,2015-11-25,179,22,40,306.345,22,2,2,0,8,11,2015,2
92,28,1,2015-11-20,225,26,28,306.345,24,1,1,2,3,11,2015,4
93,20,4,2015-11-27,260,50,36,306.345,23,1,4,0,4,11,2015,4
94,33,4,2015-11-02,248,25,47,306.345,32,1,2,1,1,11,2015,0
95,28,4,2015-11-10,225,26,28,306.345,24,1,1,2,3,11,2015,1
96,11,1,2015-11-11,289,36,33,306.345,30,1,2,1,24,11,2015,2
97,15,4,2015-11-26,291,31,40,306.345,25,1,1,1,3,11,2015,3
98,33,4,2015-12-01,248,25,47,261.306,32,1,2,1,1,12,2015,1
99,36,4,2015-12-02,118,13,50,261.306,31,1,1,0,2,12,2015,2
100,1,4,2015-12-02,235,11,37,261.306,29,3,1,1,8,12,2015,2
101,28,4,2015-12-03,225,26,28,261.306,24,1,1,2,2,12,2015,3
102,20,4,2015-12-04,260,50,36,261.306,23,1,4,0,8,12,2015,4
103,10,4,2015-12-09,361,52,28,261.306,27,1,1,4,8,12,2015,2
104,28,4,2015-12-10,225,26,28,261.306,24,1,1,2,3,12,2015,3
105,20,4,2015-12-11,260,50,36,261.306,23,1,4,0,3,12,2015,4
106,28,4,2015-12-15,225,26,28,261.306,24,1,1,2,2,12,2015,1
107,10,4,2015-12-16,361,52,28,261.306,27,1,1,4,8,12,2015,2
108,34,4,2015-12-11,118,10,37,261.306,28,1,0,0,2,12,2015,4
109,24,3,2015-12-18,246,25,41,261.306,23,1,0,0,8,12,2015,4
110,28,4,2015-12-18,225,26,28,261.306,24,1,1,2,2,12,2015,4
111,28,4,2016-01-06,225,26,28,308.593,24,1,1,2,1,1,2016,2
112,34,3,2016-01-04,118,10,37,308.593,28,1,0,0,1,1,2016,0
113,34,4,2016-01-05,118,10,37,308.593,28,1,0,0,1,1,2016,1
114,14,3,2016-01-05,155,12,34,308.593,25,1,2,0,8,1,2016,1
115,28,4,2016-01-06,225,26,28,308.593,24,1,1,2,2,1,2016,2
116,27,4,2016-01-07,184,42,27,308.593,21,1,0,0,2,1,2016,3
117,28,4,2016-01-07,225,26,28,308.593,24,1,1,2,2,1,2016,3
118,28,4,2016-01-08,225,26,28,308.593,24,1,1,2,1,1,2016,4
119,34,4,2016-01-11,118,10,37,308.593,28,1,0,0,2,1,2016,0
120,28,4,2016-01-12,225,26,28,308.593,24,1,1,2,2,1,2016,1
121,34,4,2016-01-12,118,10,37,308.593,28,1,0,0,2,1,2016,1
122,34,4,2016-01-13,118,10,37,308.593,28,1,0,0,2,1,2016,2
123,34,4,2016-01-14,118,10,37,308.593,28,1,0,0,2,1,2016,3
124,34,4,2016-01-15,118,10,37,308.593,28,1,0,0,2,1,2016,4
125,22,3,2016-01-12,179,26,30,308.593,19,3,0,0,8,1,2016,1
126,11,3,2016-01-12,289,36,33,308.593,30,1,2,1,8,1,2016,1
127,27,4,2016-01-21,184,42,27,308.593,21,1,0,0,2,1,2016,3
128,34,4,2016-01-28,118,10,37,308.593,28,1,0,0,2,1,2016,3
129,34,4,2016-01-25,118,10,37,308.593,28,1,0,0,0,1,2016,0
130,28,4,2016-01-26,225,26,28,308.593,24,1,1,2,1,1,2016,1
131,11,4,2016-01-28,289,36,33,308.593,30,1,2,1,3,1,2016,3
132,27,4,2016-02-05,184,42,27,302.585,21,1,0,0,1,2,2016,4
133,24,1,2016-02-03,246,25,41,302.585,23,1,0,0,8,2,2016,2
134,3,1,2016-02-10,179,51,38,302.585,31,1,0,0,8,2,2016,2
135,14,4,2016-02-11,155,12,34,302.585,25,1,2,0,2,2,2016,3
136,6,4,2016-02-11,189,29,33,302.585,25,1,2,2,8,2,2016,3
137,20,4,2016-02-12,260,50,36,302.585,23,1,4,0,2,2,2016,4
138,11,4,2016-02-12,289,36,33,302.585,30,1,2,1,8,2,2016,4
139,31,1,2016-02-08,388,15,50,302.585,24,1,0,0,8,2,2016,0
140,31,1,2016-02-09,388,15,50,302.585,24,1,0,0,8,2,2016,1
141,28,4,2016-02-15,225,26,28,302.585,24,1,1,2,2,2,2016,0
142,28,4,2016-02-09,225,26,28,302.585,24,1,1,2,2,2,2016,1
143,22,4,2016-02-16,179,26,30,302.585,19,3,0,0,1,2,2016,1
144,27,4,2016-02-23,184,42,27,302.585,21,1,0,0,8,2,2016,1
145,28,4,2016-02-25,225,26,28,302.585,24,1,1,2,3,2,2016,3
146,18,3,2016-02-15,330,16,28,302.585,25,2,0,0,8,2,2016,0
147,18,4,2016-02-16,330,16,28,302.585,25,2,0,0,1,2,2016,1
148,28,4,2016-02-17,225,26,28,302.585,24,1,1,2,1,2,2016,2
149,6,3,2016-02-25,189,29,33,302.585,25,1,2,2,8,2,2016,3
150,19,4,2016-03-01,291,50,32,343.253,23,1,0,0,2,3,2016,1
151,20,3,2016-03-01,260,50,36,343.253,23,1,4,0,8,3,2016,1
152,30,3,2016-03-08,157,27,29,343.253,22,1,0,0,3,3,2016,1
153,17,2,2016-03-15,179,22,40,343.253,22,2,2,0,8,3,2016,1
154,15,4,2016-03-16,291,31,40,343.253,25,1,1,1,8,3,2016,2
155,20,1,2016-03-02,260,50,36,343.253,23,1,4,0,8,3,2016,2
156,22,1,2016-03-03,179,26,30,343.253,19,3,0,0,8,3,2016,3
157,33,1,2016-03-04,248,25,47,343.253,32,1,2,1,3,3,2016,4
158,20,1,2016-03-04,260,50,36,343.253,23,1,4,0,40,3,2016,4
159,17,1,2016-03-07,179,22,40,343.253,22,2,2,0,40,3,2016,0
160,14,1,2016-03-14,155,12,34,343.253,25,1,2,0,16,3,2016,0
161,20,4,2016-03-21,260,50,36,343.253,23,1,4,0,16,3,2016,0
162,14,1,2016-03-22,155,12,34,343.253,25,1,2,0,8,3,2016,1
163,11,1,2016-03-24,289,36,33,343.253,30,1,2,1,8,3,2016,3
164,17,1,2016-03-24,179,22,40,343.253,22,2,2,0,8,3,2016,3
165,20,4,2016-03-25,260,50,36,343.253,23,1,4,0,4,3,2016,4
166,28,4,2016-03-25,225,26,28,343.253,24,1,1,2,1,3,2016,4
167,7,1,2016-03-28,279,5,39,343.253,24,1,2,0,8,3,2016,0
168,3,1,2016-03-29,179,51,38,343.253,31,1,0,0,24,3,2016,1
169,28,4,2016-03-30,225,26,28,343.253,24,1,1,2,2,3,2016,2
170,28,1,2016-03-28,225,26,28,343.253,24,1,1,2,8,3,2016,0
171,22,1,2016-03-28,179,26,30,343.253,19,3,0,0,1,3,2016,0
172,28,1,2016-03-29,225,26,28,343.253,24,1,1,2,8,3,2016,1
173,28,1,2016-03-30,225,26,28,343.253,24,1,1,2,16,3,2016,2
174,3,1,2016-03-30,179,51,38,343.253,31,1,0,0,3,3,2016,2
175,7,1,2016-03-17,279,5,39,343.253,24,1,2,0,16,3,2016,3
176,28,4,2016-03-18,225,26,28,343.253,24,1,1,2,2,3,2016,4
177,33,1,2016-03-25,248,25,47,343.253,32,1,2,1,3,3,2016,4
178,28,4,2016-03-28,225,26,28,343.253,24,1,1,2,1,3,2016,0
179,15,4,2016-04-06,291,31,40,326.452,25,1,1,1,1,4,2016,2
180,28,4,2016-04-13,225,26,28,326.452,24,1,1,2,1,4,2016,2
181,14,4,2016-04-12,155,12,34,326.452,25,1,2,0,1,4,2016,1
182,24,1,2016-04-13,246,25,41,326.452,23,1,0,0,24,4,2016,2
183,14,4,2016-04-14,155,12,34,326.452,25,1,2,0,1,4,2016,3
184,28,4,2016-04-15,225,26,28,326.452,24,1,1,2,2,4,2016,4
185,20,4,2016-04-15,260,50,36,326.452,23,1,4,0,4,4,2016,4
186,3,1,2016-04-06,179,51,38,326.452,31,1,0,0,24,4,2016,2
187,36,4,2016-04-07,118,13,50,326.452,31,1,1,0,1,4,2016,3
188,15,4,2016-04-08,291,31,40,326.452,25,1,1,1,3,4,2016,4
189,24,1,2016-04-08,246,25,41,326.452,23,1,0,0,8,4,2016,4
190,15,4,2016-04-22,291,31,40,326.452,25,1,1,1,1,4,2016,4
191,33,4,2016-04-29,248,25,47,326.452,32,1,2,1,8,4,2016,4
192,11,3,2016-04-26,289,36,33,326.452,30,1,2,1,8,4,2016,1
193,14,1,2016-04-27,155,12,34,326.452,25,1,2,0,24,4,2016,2
194,23,3,2016-04-27,378,49,36,326.452,21,1,2,4,8,4,2016,2
195,11,1,2016-04-28,289,36,33,326.452,30,1,2,1,16,4,2016,3
196,1,1,2016-04-08,235,11,37,326.452,29,3,1,1,3,4,2016,4
197,2,4,2016-04-04,235,29,48,326.452,33,1,1,5,0,4,2016,0
198,11,1,2016-05-04,289,36,33,378.884,30,1,2,1,8,5,2016,2
199,14,4,2016-05-05,155,12,34,378.884,25,1,2,0,2,5,2016,3
200,14,4,2016-05-02,155,12,34,378.884,25,1,2,0,1,5,2016,0
201,3,3,2016-05-03,179,51,38,378.884,31,1,0,0,8,5,2016,1
202,28,3,2016-05-03,225,26,28,378.884,24,1,1,2,8,5,2016,1
203,27,1,2016-05-11,184,42,27,378.884,21,1,0,0,4,5,2016,2
204,14,4,2016-05-09,155,12,34,378.884,25,1,2,0,2,5,2016,0
205,3,1,2016-05-10,179,51,38,378.884,31,1,0,0,1,5,2016,1
206,11,1,2016-05-04,289,36,33,378.884,30,1,2,1,24,5,2016,2
207,7,4,2016-05-11,279,5,39,378.884,24,1,2,0,0,5,2016,2
208,18,4,2016-05-18,330,16,28,378.884,25,2,0,0,0,5,2016,2
209,23,4,2016-05-25,378,49,36,378.884,21,1,2,4,0,5,2016,2
210,31,4,2016-05-25,388,15,50,378.884,24,1,0,0,0,5,2016,2
211,3,1,2016-05-24,179,51,38,378.884,31,1,0,0,1,5,2016,1
212,36,1,2016-05-11,118,13,50,378.884,31,1,1,0,24,5,2016,2
213,10,4,2016-05-27,361,52,28,378.884,27,1,1,4,8,5,2016,4
214,24,3,2016-06-06,246,25,41,377.55,23,1,0,0,8,6,2016,0
215,10,4,2016-06-13,361,52,28,377.55,27,1,1,4,8,6,2016,0
216,24,1,2016-06-14,246,25,41,377.55,23,1,0,0,24,6,2016,1
217,15,4,2016-06-16,291,31,40,377.55,25,1,1,1,4,6,2016,3
218,24,1,2016-06-17,246,25,41,377.55,23,1,0,0,8,6,2016,4
219,3,1,2016-06-13,179,51,38,377.55,31,1,0,0,8,6,2016,0
220,14,4,2016-06-20,155,12,34,377.55,25,1,2,0,4,6,2016,0
221,24,1,2016-06-27,246,25,41,377.55,23,1,0,0,8,6,2016,0
222,36,1,2016-06-29,118,13,50,377.55,31,1,1,0,8,6,2016,2
223,1,1,2016-06-03,235,11,37,377.55,29,3,1,1,16,6,2016,4
224,36,4,2016-06-07,118,13,50,377.55,31,1,1,0,1,6,2016,1
225,23,4,2016-06-09,378,49,36,377.55,21,1,2,4,8,6,2016,3
226,3,1,2016-06-10,179,51,38,377.55,31,1,0,0,2,6,2016,4
227,32,4,2016-06-20,289,48,49,377.55,36,1,0,2,2,6,2016,0
228,28,4,2016-06-30,225,26,28,377.55,24,1,1,2,2,6,2016,3
229,14,3,2016-07-05,155,12,34,275.312,25,1,2,0,16,7,2016,1
230,36,1,2016-07-06,118,13,50,275.312,31,1,1,0,8,7,2016,2
231,34,1,2016-07-08,118,10,37,275.312,28,1,0,0,8,7,2016,4
232,34,4,2016-07-08,118,10,37,275.312,28,1,0,0,4,7,2016,4
233,18,4,2016-07-12,330,16,28,275.312,25,2,0,0,8,7,2016,1
234,22,3,2016-07-14,179,26,30,275.312,19,3,0,0,8,7,2016,3
235,14,4,2016-07-15,155,12,34,275.312,25,1,2,0,2,7,2016,4
236,18,1,2016-07-18,330,16,28,275.312,25,2,0,0,8,7,2016,0
237,18,1,2016-07-19,330,16,28,275.312,25,2,0,0,8,7,2016,1
238,30,4,2016-07-18,157,27,29,275.312,22,1,0,0,3,7,2016,0
239,10,4,2016-07-19,361,52,28,275.312,27,1,1,4,8,7,2016,1
240,11,4,2016-07-20,289,36,33,275.312,30,1,2,1,8,7,2016,2
241,3,4,2016-07-21,179,51,38,275.312,31,1,0,0,8,7,2016,3
242,11,3,2016-07-11,289,36,33,275.312,30,1,2,1,32,7,2016,0
243,11,3,2016-07-14,289,36,33,275.312,30,1,2,1,8,7,2016,3
244,20,4,2016-07-21,260,50,36,275.312,23,1,4,0,0,7,2016,3
245,11,3,2016-08-04,289,36,33,265.615,30,1,2,1,8,8,2016,3
246,30,3,2016-08-11,157,27,29,265.615,22,1,0,0,3,8,2016,3
247,11,4,2016-08-07,289,36,33,265.615,30,1,2,1,1,8,2016,6
248,9,3,2016-08-08,228,14,58,265.615,22,1,2,1,8,8,2016,0
249,26,1,2016-08-10,300,26,43,265.615,25,1,2,1,1,8,2016,2
250,26,1,2016-08-10,300,26,43,265.615,25,1,2,1,2,8,2016,2
251,20,4,2016-08-11,260,50,36,265.615,23,1,4,0,4,8,2016,3
252,11,4,2016-08-08,289,36,33,265.615,30,1,2,1,4,8,2016,0
253,33,4,2016-08-09,248,25,47,265.615,32,1,2,1,1,8,2016,1
254,21,1,2016-08-10,268,11,33,265.615,25,2,0,0,8,8,2016,2
255,22,4,2016-08-10,179,26,30,265.615,19,3,0,0,1,8,2016,2
256,36,1,2016-08-10,118,13,50,265.615,31,1,1,0,3,8,2016,2
257,33,4,2016-08-14,248,25,47,265.615,32,1,2,1,2,8,2016,6
258,1,4,2016-08-15,235,11,37,265.615,29,3,1,1,1,8,2016,0
259,36,4,2016-08-17,118,13,50,265.615,31,1,1,0,1,8,2016,2
260,1,3,2016-08-24,235,11,37,265.615,29,3,1,1,8,8,2016,2
261,10,1,2016-08-08,361,52,28,265.615,27,1,1,4,8,8,2016,0
262,27,1,2016-08-30,184,42,27,265.615,21,1,0,0,8,8,2016,1
263,3,1,2016-09-05,179,51,38,294.217,31,1,0,0,8,9,2016,0
264,3,4,2016-09-09,179,51,38,294.217,31,1,0,0,3,9,2016,4
265,11,3,2016-09-07,289,36,33,294.217,30,1,2,1,24,9,2016,2
266,5,4,2016-09-08,235,20,43,294.217,38,1,1,0,0,9,2016,3
267,24,1,2016-09-12,246,25,41,294.217,23,1,0,0,16,9,2016,0
268,15,4,2016-09-13,291,31,40,294.217,25,1,1,1,3,9,2016,1
269,8,4,2016-09-13,231,35,39,294.217,35,1,2,2,0,9,2016,1
270,19,4,2016-09-13,291,50,32,294.217,23,1,0,0,0,9,2016,1
271,3,1,2016-09-14,179,51,38,294.217,31,1,0,0,8,9,2016,2
272,24,1,2016-09-14,246,25,41,294.217,23,1,0,0,32,9,2016,2
273,3,4,2016-09-15,179,51,38,294.217,31,1,0,0,1,9,2016,3
274,15,4,2016-09-16,291,31,40,294.217,25,1,1,1,4,9,2016,4
275,20,4,2016-09-16,260,50,36,294.217,23,1,4,0,4,9,2016,4
276,5,4,2016-09-14,235,20,43,294.217,38,1,1,0,8,9,2016,2
277,36,4,2016-09-15,118,13,50,294.217,31,1,1,0,1,9,2016,3
278,5,4,2016-09-15,235,20,43,294.217,38,1,1,0,0,9,2016,3
279,15,4,2016-09-16,291,31,40,294.217,25,1,1,1,3,9,2016,4
280,15,1,2016-09-26,291,31,40,294.217,25,1,1,1,40,9,2016,0
281,3,1,2016-09-26,179,51,38,294.217,31,1,0,0,8,9,2016,0
282,11,4,2016-10-05,289,36,33,265.017,30,1,2,1,8,10,2016,2
283,1,4,2016-10-05,235,11,37,265.017,29,3,1,1,4,10,2016,2
284,11,4,2016-10-05,289,36,33,265.017,30,1,2,1,8,10,2016,2
285,11,4,2016-10-06,289,36,33,265.017,30,1,2,1,8,10,2016,3
286,36,4,2016-10-06,118,13,50,265.017,31,1,1,0,0,10,2016,3
287,33,4,2016-10-06,248,25,47,265.017,32,1,2,1,0,10,2016,3
288,22,1,2016-10-12,179,26,30,265.017,19,3,0,0,8,10,2016,2
289,34,1,2016-10-12,118,10,37,265.017,28,1,0,0,3,10,2016,2
290,13,4,2016-10-12,369,17,31,265.017,25,1,3,0,8,10,2016,2
291,3,4,2016-10-14,179,51,38,265.017,31,1,0,0,1,10,2016,4
292,5,4,2016-10-14,235,20,43,265.017,38,1,1,0,0,10,2016,4
293,11,3,2016-10-15,289,36,33,265.017,30,1,2,1,16,10,2016,5
294,20,4,2016-10-16,260,50,36,265.017,23,1,4,0,3,10,2016,6
295,5,4,2016-10-16,235,20,43,265.017,38,1,1,0,0,10,2016,6
296,5,4,2016-10-19,235,20,43,265.017,38,1,1,0,2,10,2016,2
297,36,4,2016-10-20,118,13,50,265.017,31,1,1,0,1,10,2016,3
298,15,4,2016-10-20,291,31,40,265.017,25,1,1,1,4,10,2016,3
299,22,4,2016-10-22,179,26,30,265.017,19,3,0,0,16,10,2016,5
300,36,4,2016-10-22,118,13,50,265.017,31,1,1,0,1,10,2016,5
301,10,1,2016-10-26,361,52,28,265.017,27,1,1,4,8,10,2016,2
302,20,4,2016-10-27,260,50,36,265.017,23,1,4,0,0,10,2016,3
303,15,4,2016-10-27,291,31,40,265.017,25,1,1,1,0,10,2016,3
304,30,4,2016-10-27,157,27,29,265.017,22,1,0,0,0,10,2016,3
305,22,1,2016-10-28,179,26,30,265.017,19,3,0,0,5,10,2016,4
306,22,1,2016-10-28,179,26,30,265.017,19,3,0,0,5,10,2016,4
307,36,4,2016-10-29,118,13,50,265.017,31,1,1,0,1,10,2016,5
308,34,1,2016-11-07,118,10,37,284.031,28,1,0,0,8,11,2016,0
309,33,4,2016-11-07,248,25,47,284.031,32,1,2,1,2,11,2016,0
310,3,1,2016-11-08,179,51,38,284.031,31,1,0,0,8,11,2016,1
311,20,4,2016-11-11,260,50,36,284.031,23,1,4,0,3,11,2016,4
312,15,4,2016-11-14,291,31,40,284.031,25,1,1,1,1,11,2016,0
313,23,1,2016-11-14,378,49,36,284.031,21,1,2,4,8,11,2016,0
314,5,4,2016-11-14,235,20,43,284.031,38,1,1,0,8,11,2016,0
315,18,4,2016-11-15,330,16,28,284.031,25,2,0,0,0,11,2016,1
316,1,3,2016-11-16,235,11,37,284.031,29,3,1,1,1,11,2016,2
317,34,1,2016-11-16,118,10,37,284.031,28,1,0,0,3,11,2016,2
318,1,4,2016-11-17,235,11,37,284.031,29,3,1,1,2,11,2016,3
319,3,4,2016-11-17,179,51,38,284.031,31,1,0,0,3,11,2016,3
320,24,1,2016-11-18,246,25,41,284.031,23,1,0,0,8,11,2016,4
321,15,1,2016-11-18,291,31,40,284.031,25,1,1,1,4,11,2016,4
322,24,1,2016-11-21,246,25,41,284.031,23,1,0,0,8,11,2016,0
323,3,4,2016-11-22,179,51,38,284.031,31,1,0,0,1,11,2016,1
324,20,1,2016-11-23,260,50,36,284.031,23,1,4,0,8,11,2016,2
325,20,2,2016-11-25,260,50,36,284.031,23,1,4,0,8,11,2016,4
326,23,4,2016-11-25,378,49,36,284.031,21,1,2,4,0,11,2016,4
327,7,4,2016-11-29,279,5,39,284.031,24,1,2,0,0,11,2016,1
328,3,4,2016-11-24,179,51,38,284.031,31,1,0,0,1,11,2016,3
329,28,1,2016-12-05,225,26,28,236.629,24,1,1,2,3,12,2016,0
330,3,4,2016-12-05,179,51,38,236.629,31,1,0,0,2,12,2016,0
331,3,4,2016-12-05,179,51,38,236.629,31,1,0,0,1,12,2016,0
332,1,4,2016-12-05,235,11,37,236.629,29,3,1,1,3,12,2016,0
333,36,4,2016-12-06,118,13,50,236.629,31,1,1,0,1,12,2016,1
334,20,4,2016-12-09,260,50,36,236.629,23,1,4,0,4,12,2016,4
335,24,1,2016-12-15,246,25,41,236.629,23,1,0,0,8,12,2016,3
336,3,4,2016-12-15,179,51,38,236.629,31,1,0,0,1,12,2016,3
337,3,4,2016-12-16,179,51,38,236.629,31,1,0,0,1,12,2016,4
338,22,4,2016-12-20,179,26,30,236.629,19,3,0,0,1,12,2016,1
339,34,4,2016-12-20,118,10,37,236.629,28,1,0,0,8,12,2016,1
340,1,4,2016-12-22,235,11,37,236.629,29,3,1,1,2,12,2016,3
341,3,4,2016-12-23,179,51,38,236.629,31,1,0,0,1,12,2016,4
342,5,1,2016-12-20,235,20,43,236.629,38,1,1,0,8,12,2016,1
343,1,1,2016-12-20,235,11,37,236.629,29,3,1,1,4,12,2016,1
344,20,4,2016-12-21,260,50,36,236.629,23,1,4,0,8,12,2016,2
